Query,sf005,sf02,sf05,sf1
Q2,0.01,0.01,0.01,0.01
Q3,0.32,0.5,0.7,0.84
Q4,99.84,339.87,778.88,743.5
Q7,15.89,60.28,134.68,211.13
Q9,144.44,483.62,915.93,1061.65
Q13,115.88,431.8,990.35,1003.48
