Query,sf005,sf02,sf05,sf1
Q2,0.06,0.02,0.02,0.02
Q3,0.15,0.13,0.12,0.18
Q4,15.29,51.47,115.45,205.25
Q7,1.48,6.17,12.99,21.93
Q9,16.31,59.01,131.76,287.9
Q13,11.37,39.59,89.61,143.75
