Query,sf005,sf02,sf05,sf1
Q2,0.02,0.02,0.02,0.02
Q3,0.09,0.12,0.11,0.11
Q4,8.36,39.44,72.01,121.8
Q7,0.91,3.89,8.18,13.02
Q9,10.15,35.92,79.31,172.35
Q13,7.18,27.31,52.97,78.57
